Country	Virus Subtype	Total Influenza Cases	Number of Cases in Past 4 Weeks	% of Cases in Past 4 Weeks
Suriname	A/H1N1	8	0	0.00%
Mali	A/H1N1	8	0	0.00%
Central African Republic	A/H1N1	7	0	0.00%
Trinidad and Tobago	A/H1N1	4	0	0.00%
Cook Islands	A/H1N1	3	3	100.00%
Guadeloupe	A/H1N1	2	0	0.00%
Saint Martin (French Part)	A/H1N1	2	2	100.00%
Kuwait	A/H1N1	2	0	0.00%
Cyprus	A/H1N1	2	0	0.00%
Dominica	A/H1N1	2	0	0.00%
Grenada	A/H1N1	1	0	0.00%
Saint Lucia	A/H1N1	1	0	0.00%
Monaco	A/H1N1	1	0	0.00%
Netherlands Antilles	A/H1N1	1	0	0.00%
Antarctica	A/H1N1	1	0	0.00%
Belize	A/H1N1	1	0	0.00%
United States	A/H3N2	32,306	3,444	36.70%
United Kingdom	A/H3N2	6,603	135	12.80%
Spain	A/H3N2	5,633	539	23.10%
France	A/H3N2	5,267	2,004	38.20%
Australia	A/H3N2	4,240	103	19.10%
Brazil	A/H3N2	4,186	10	10.30%
Canada	A/H3N2	3,611	467	32.30%
Russian Federation	A/H3N2	3,443	10	1.60%
Netherlands	A/H3N2	3,163	580	44.50%
Germany	A/H3N2	1,987	74	12.70%
China	A/H3N2	1,874	2	6.20%
Norway	A/H3N2	1,686	75	34.40%
Denmark	A/H3N2	1,565	82	32.40%
United Arab Emirates	A/H3N2	1,526	0	0.00%
Chile	A/H3N2	1,140	0	0.00%
Thailand	A/H3N2	1,118	82	25.90%
Japan	A/H3N2	1,058	16	13.00%
Singapore	A/H3N2	928	4	33.30%
Portugal	A/H3N2	907	30	19.00%
South Africa	A/H3N2	832	7	21.90%
Italy	A/H3N2	817	71	25.20%
Mexico	A/H3N2	811	33	75.00%
Austria	A/H3N2	647	29	11.00%
Peru	A/H3N2	627	0	0.00%
Romania	A/H3N2	584	40	15.20%
Cambodia	A/H3N2	531	5	14.30%
Sweden	A/H3N2	517	38	26.80%
Switzerland	A/H3N2	492	77	33.50%
Bangladesh	A/H3N2	437	0	0.00%
India	A/H3N2	411	0	0.00%
Korea	A/H3N2	403	69	43.40%
Kenya	A/H3N2	393	2	50.00%
Belgium	A/H3N2	379	19	22.90%
Ghana	A/H3N2	344	10	55.60%
Luxembourg	A/H3N2	342	27	27.30%
Oman	A/H3N2	326	63	79.70%
Philippines	A/H3N2	321	0	0.00%
Togo	A/H3N2	317	0	0.00%
Lao	A/H3N2	312	0	0.00%
Costa Rica	A/H3N2	310	0	0.00%
New Zealand	A/H3N2	281	0	0.00%
Argentina	A/H3N2	278	0	0.00%
Lebanon	A/H3N2	276	0	0.00%
Zambia	A/H3N2	268	0	0.00%
Guatemala	A/H3N2	266	7	22.60%
Croatia	A/H3N2	262	4	5.30%
Qatar	A/H3N2	243	2	100.00%
Malaysia	A/H3N2	233	8	11.40%
Hong Kong (SAR)	A/H3N2	227	4	6.80%
Madagascar	A/H3N2	224	0	0.00%
Bhutan	A/H3N2	218	0	0.00%
Senegal	A/H3N2	216	0	0.00%
Poland	A/H3N2	212	4	26.70%
Vietnam	A/H3N2	206	63	72.40%
Nicaragua	A/H3N2	205	0	0.00%
Ukraine	A/H3N2	204	32	20.80%
Slovenia	A/H3N2	203	0	0.00%
Finland	A/H3N2	194	3	30.00%
Estonia	A/H3N2	191	0	0.00%
Iceland	A/H3N2	179	0	0.00%
Cote d'Ivoire	A/H3N2	174	0	0.00%
Albania	A/H3N2	173	0	0.00%
Slovakia	A/H3N2	167	8	7.00%
Serbia	A/H3N2	157	0	0.00%
Bolivia	A/H3N2	154	0	0.00%
Ireland	A/H3N2	146	1	0.80%
Israel	A/H3N2	145	2	10.00%
Puerto Rico	A/H3N2	145	6	37.50%
Fiji	A/H3N2	145	0	0.00%
Indonesia	A/H3N2	137	0	0.00%
Niger	A/H3N2	133	0	0.00%
Bahrain	A/H3N2	131	2	16.70%
Pakistan	A/H3N2	128	0	0.00%
Bulgaria	A/H3N2	128	0	0.00%
Kyrgyzstan	A/H3N2	127	0	0.00%
Timor-Leste	A/H3N2	120	0	0.00%
Kazakhstan	A/H3N2	111	0	0.00%
Maldives	A/H3N2	109	0	0.00%
Honduras	A/H3N2	108	20	90.90%
Czech Republic	A/H3N2	106	0	0.00%
Tunisia	A/H3N2	105	0	0.00%
Brunei	A/H3N2	104	0	0.00%
Burkina Faso	A/H3N2	101	0	0.00%
Hungary	A/H3N2	99	2	15.40%
Colombia	A/H3N2	93	0	0.00%
Ecuador	A/H3N2	89	4	100.00%
Lithuania	A/H3N2	88	0	0.00%
Congo	A/H3N2	84	0	0.00%
Nepal	A/H3N2	83	6	66.70%
Myanmar	A/H3N2	81	0	0.00%
Uruguay	A/H3N2	80	0	0.00%
New Caledonia	A/H3N2	78	12	42.90%
Panama	A/H3N2	75	0	0.00%
Sri Lanka	A/H3N2	74	4	26.70%
Iran	A/H3N2	71	0	0.00%
Greece	A/H3N2	71	0	0.00%
Mozambique	A/H3N2	70	0	0.00%
French Guiana	A/H3N2	62	10	34.50%
Georgia	A/H3N2	60	0	0.00%
Kosovo	A/H3N2	58	0	0.00%
Cameroon	A/H3N2	57	0	0.00%
Saudi Arabia	A/H3N2	53	0	0.00%
Reunion	A/H3N2	51	0	0.00%
Mongolia	A/H3N2	51	0	0.00%
Armenia	A/H3N2	51	0	0.00%
Guyana	A/H3N2	50	0	0.00%
Bosnia and Herzegovina	A/H3N2	48	0	0.00%
Uganda	A/H3N2	48	1	100.00%
Mauritius	A/H3N2	47	0	0.00%
Moldova	A/H3N2	47	8	88.90%
Algeria	A/H3N2	46	6	66.70%
Afghanistan	A/H3N2	45	0	0.00%
El Salvador	A/H3N2	44	0	0.00%
Ethiopia	A/H3N2	42	0	0.00%
Paraguay	A/H3N2	40	0	0.00%
Montenegro	A/H3N2	40	2	12.50%
Macedonia	A/H3N2	39	0	0.00%
Latvia	A/H3N2	39	0	0.00%
Morocco	A/H3N2	35	0	0.00%
Dominican Republic	A/H3N2	35	0	0.00%
Turkmenistan	A/H3N2	31	0	0.00%
Tajikistan	A/H3N2	28	0	0.00%
